,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2014-11-03T11:23:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-03T11:23Z,2014-11-03T11:53Z,2014-11-03T12:17Z,M2.2,N17E89,12205,(was unnumbered at the time),[{'activityID': '2014-11-03T12:12:00-CME-001'}],2014-11-05T14:55Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7119/-1
1,2014-11-03T22:15:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-03T22:15Z,2014-11-03T22:40Z,2014-11-03T22:53Z,M6.5,N18E90,12205,unnumbered active region (was unnumbered at the time),[{'activityID': '2014-11-03T23:12:00-CME-001'}],2014-11-05T19:23Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7125/-1
2,2014-11-04T07:59:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-04T07:59Z,2014-11-04T08:38Z,2014-11-04T08:51Z,M2.6,N14E89,12205,New M-class flare starting at noted end-time   (was unnumbered at the time),[{'activityID': '2014-11-04T09:12:00-CME-001'}],2014-11-05T19:24Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7137/-1
3,2014-11-04T08:52:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-04T08:52Z,2014-11-04T09:04Z,2014-11-04T09:13Z,M2.3,N13E89,12205,(was unnumbered at the time),[{'activityID': '2014-11-04T09:12:00-CME-001'}],2014-11-05T19:25Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7138/-1
4,2014-11-05T09:26:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-05T09:26Z,2014-11-05T09:47Z,2014-11-05T09:55Z,M7.9,N16E63,12205,,[{'activityID': '2014-11-05T10:12:00-CME-001'}],2014-11-05T13:05Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7146/-1
5,2014-11-05T18:50:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-05T18:50Z,2014-11-05T19:44Z,2014-11-05T20:15Z,M2.9,N16E69,12205,,[{'activityID': '2014-11-05T20:00:00-CME-001'}],2014-11-12T19:33Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7152/-1
6,2014-11-06T01:29:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-06T01:29Z,2014-11-06T01:39Z,2014-11-06T01:54Z,M3.2,N16E70,12205,"AR ID with SXI, no SDO images",,2014-11-06T15:21Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7155/-1
7,2014-11-06T03:32:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-06T03:32Z,2014-11-06T03:46Z,2014-11-06T04:02Z,M5.4,N16E53,12205,location from SXI images,[{'activityID': '2014-11-06T04:00:00-CME-001'}],2014-11-06T15:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7157/-1
8,2014-11-06T21:53:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-06T21:53Z,2014-11-06T22:16Z,2014-11-06T22:34Z,M2.5,N14E45,12205,"Location from SWPC, no SDO data to confirm",,2014-11-06T23:39Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7170/-1
9,2014-11-07T02:05:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-07T02:05Z,2014-11-07T02:44Z,2014-11-07T03:32Z,M2.7,N17E45,12205,"Double peak with M2.0 at 03:18,
location is rough estimate of AR 12205, no SDO data",,2014-11-12T19:34Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7171/-1
10,2014-11-07T04:12:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-07T04:12Z,2014-11-07T04:25Z,2014-11-07T04:38Z,M2.0,N17E45,12205,"no SDO data, confirm location once SDO is available",[{'activityID': '2014-11-07T04:17:00-CME-001'}],2014-11-12T19:34Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7173/-1
11,2014-11-07T10:13:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-07T10:13Z,2014-11-07T10:22Z,2014-11-07T10:30Z,M1.0,N17E42,12205,Location seen in now available SDO,,2014-11-08T04:16Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7174/-1
12,2014-11-07T16:53:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-07T16:53Z,2014-11-07T17:26Z,2014-11-07T17:34Z,X1.6,N15E35,12205,,[{'activityID': '2014-11-07T18:08:00-CME-001'}],2014-11-12T19:35Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7180/-1
13,2014-11-09T15:24:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-09T15:24Z,2014-11-09T15:32Z,2014-11-09T15:38Z,M2.3,N14E11,12205,,,2014-11-09T16:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7196/-1
14,2014-11-15T11:40:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-15T11:40Z,2014-11-15T12:03Z,2014-11-15T12:10Z,M3.2,S09E63,12209,,,2014-11-19T19:33Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7227/-1
15,2014-11-15T20:38:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-15T20:38Z,2014-11-15T20:46Z,2014-11-15T20:50Z,M3.7,S15E44,12209,,[{'activityID': '2014-11-15T21:12:00-CME-001'}],2014-11-15T22:50Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7228/-1
16,2014-11-16T17:35:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-11-16T17:35Z,2014-11-16T17:48Z,2014-11-16T17:57Z,M5.7,S12E46,12209,,,2014-11-16T18:15Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7234/-1
