flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
2024-01-12T02:55:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-12T02:55Z,2024-01-12T02:58Z,2024-01-12T03:02Z,M1.0,N18E18,13547.0,,,2024-01-12T14:59Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28583/-1
2024-01-14T11:30:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-14T11:30Z,2024-01-14T12:06Z,2024-01-14T12:26Z,C9.6,N01W90,13543.0,"Flare appears to occur over the west limb slightly, in a range W90-W110 as we see most of it peeking around the limb. Potentially associated with AR 3536 or 3543 which recently rotated off the disk, but AR 3543 is believed to be the most likely candidate.",[{'activityID': '2024-01-14T12:00:00-CME-001'}],2024-01-16T16:38Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28610/-1
2024-01-20T08:35:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-20T08:35Z,2024-01-20T09:34Z,2024-01-20T10:32Z,C3.5,S15E20,,Associated with post-eruptive arcades. Situated between Active Region 13557 (S13E29) and Active Region 13555 (S11E10).,"[{'activityID': '2024-01-20T09:24:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",2024-01-20T16:34Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28653/-1
2024-01-21T00:03:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-21T00:03Z,2024-01-21T00:27Z,2024-01-21T00:35Z,C4.0,N20E41,13559.0,,"[{'activityID': '2024-01-21T00:36:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",2024-01-21T16:08Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28667/-1
2024-01-21T00:35:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-21T00:35Z,2024-01-21T00:41Z,2024-01-21T00:55Z,C5.3,N28E42,13559.0,,"[{'activityID': '2024-01-21T00:36:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",2024-01-21T16:09Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28668/-1
2024-01-22T06:09:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22T06:09Z,2024-01-22T06:22Z,2024-01-22T06:30Z,M1.5,N27E27,13559.0,,"[{'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",2024-01-22T13:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28682/-1
2024-01-22T19:13:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22T19:13Z,2024-01-22T19:24Z,2024-01-22T19:28Z,M1.1,N25E14,13559.0,Simultaneous flaring from AR 3561 (approx. S16W28) at the time of this flare/,,2024-01-22T20:04Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28696/-1
2024-01-22T19:28:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22T19:28Z,2024-01-22T19:32Z,2024-01-22T19:36Z,M1.2,N25E14,13559.0,,,2024-01-22T19:55Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28695/-1
2024-01-22T19:43:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22T19:43Z,2024-01-22T19:47Z,2024-01-22T19:53Z,M2.0,S17W27,13561.0,Simultaneous flaring is observed from AR 3559 (approximately N27E15).,,2024-01-22T20:07Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28697/-1
2024-01-22T21:14:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22T21:14Z,2024-01-22T21:21Z,2024-01-22T21:32Z,M3.4,S18W30,13561.0,,[{'activityID': '2024-01-22T22:36:00-CME-001'}],2024-01-23T13:43Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28713/-1
2024-01-22T21:36:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22T21:36Z,2024-01-22T21:43Z,2024-01-22T21:58Z,M1.6,S18W30,13561.0,,[{'activityID': '2024-01-22T22:36:00-CME-001'}],2024-01-23T13:46Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28714/-1
2024-01-22T22:19:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22T22:19Z,2024-01-22T22:22Z,2024-01-22T22:26Z,M2.1,S19W30,13561.0,,,2024-01-23T13:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28715/-1
2024-01-23T03:09:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T03:09Z,2024-01-23T03:31Z,2024-01-23T03:38Z,M5.1,N29E18,13559.0,"Simultaneous flaring at Active Region 13561 (S19W31), but Active Region 13559 is clearly the primary contributor to this flare.","[{'activityID': '2024-01-23T03:48:00-CME-001'}, {'activityID': '2024-01-23T04:12:00-CME-001'}]",2024-01-24T00:27Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28710/-1
2024-01-23T06:45:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T06:45Z,2024-01-23T07:00Z,2024-01-23T07:14Z,C9.6,S17W35,13561.0,,[{'activityID': '2024-01-23T07:24:00-CME-001'}],2024-01-24T17:15Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28764/-1
2024-01-23T07:52:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T07:52Z,2024-01-23T08:11Z,2024-01-23T08:18Z,M2.4,S18W38,13561.0,,,2024-01-23T13:52Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28716/-1
2024-01-23T08:18:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T08:18Z,2024-01-23T08:22Z,2024-01-23T08:26Z,M2.3,S18W40,13561.0,,,2024-01-23T13:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28717/-1
2024-01-23T09:17:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T09:17Z,2024-01-23T09:30Z,2024-01-23T09:36Z,C6.2,N30E16,13559.0,,[{'activityID': '2024-01-23T09:48:00-CME-001'}],2024-01-24T00:20Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28744/-1
2024-01-23T13:03:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T13:03Z,2024-01-23T13:08Z,2024-01-23T13:13Z,M1.0,S18W38,13561.0,Simultaneous flaring at Active Region 13559 (N30E12).,[{'activityID': '2024-01-23T13:36:00-CME-001'}],2024-01-23T14:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28718/-1
2024-01-23T14:45:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T14:45Z,2024-01-23T14:59Z,2024-01-23T15:05Z,M1.3,S18W42,13561.0,,,2024-01-23T15:27Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28719/-1
2024-01-23T16:36:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T16:36Z,2024-01-23T16:40Z,2024-01-23T16:47Z,M4.3,S17W39,13561.0,,[{'activityID': '2024-01-23T17:36:00-CME-001'}],2024-01-23T17:11Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28721/-1
2024-01-23T18:19:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T18:19Z,2024-01-23T18:28Z,2024-01-23T18:35Z,M1.0,S17W43,13561.0,,,2024-01-23T18:47Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28722/-1
2024-01-23T18:35:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T18:35Z,2024-01-23T18:44Z,2024-01-23T18:49Z,M1.1,S16W43,13561.0,,,2024-01-23T18:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28723/-1
2024-01-23T19:46:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T19:46Z,2024-01-23T19:52Z,2024-01-23T19:57Z,M1.0,S17W42,13561.0,"First of two flares in a double peak, followed by 2024-01-23T19:57Z.",,2024-01-23T20:16Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28728/-1
2024-01-23T19:57:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-23T19:57Z,2024-01-23T20:01Z,2024-01-23T20:05Z,M1.0,S17W44,13561.0,"Second of two flares in a double peak, preceded by 2024-01-23T19:46Z.",,2024-01-23T20:16Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28729/-1
2024-01-24T00:21:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24T00:21Z,2024-01-24T00:38Z,2024-01-24T00:43Z,M1.0,S17W43,13561.0,,,2024-01-24T13:10Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28755/-1
2024-01-24T01:31:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24T01:31Z,2024-01-24T01:40Z,2024-01-24T01:53Z,M2.6,S16W48,13561.0,,[{'activityID': '2024-01-24T01:36:00-CME-001'}],2024-01-24T13:12Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28756/-1
2024-01-24T05:18:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24T05:18Z,2024-01-24T05:43Z,2024-01-24T06:00Z,M1.4,S16W51,13561.0,,,2024-01-24T13:15Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28757/-1
2024-01-24T12:44:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24T12:44Z,2024-01-24T12:57Z,2024-01-24T13:14Z,C6.8,S18W52,13561.0,,[{'activityID': '2024-01-24T13:36:00-CME-001'}],2024-01-24T20:53Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28778/-1
2024-01-24T20:44:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-24T20:44Z,2024-01-24T20:58Z,2024-01-24T21:11Z,M1.3,S18W60,13561.0,,[{'activityID': '2024-01-24T22:24:00-CME-001'}],2024-01-25T14:04Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28781/-1
2024-01-28T15:52:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-28T15:52Z,2024-01-28T16:00Z,2024-01-28T16:22Z,C3.0,N30W55,13559.0,,[{'activityID': '2024-01-28T16:24:00-CME-001'}],2024-01-28T21:13Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28830/-1
2024-01-29T01:29:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-29T01:29Z,2024-01-29T01:40Z,2024-01-29T01:52Z,M1.2,N30W61,13559.0,,[{'activityID': '2024-01-29T02:00:00-CME-001'}],2024-01-29T02:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28833/-1
2024-01-29T03:54:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-29T03:54Z,2024-01-29T04:38Z,2024-01-29T05:15Z,M6.8,N25W70,13559.0,,"[{'activityID': '2024-01-29T04:38:00-CME-001'}, {'activityID': '2024-01-29T05:11:00-SEP-001'}, {'activityID': '2024-01-29T05:50:00-SEP-001'}, {'activityID': '2024-01-29T06:06:00-SEP-001'}, {'activityID': '2024-01-29T06:08:00-SEP-001'}, {'activityID': '2024-01-29T06:15:00-SEP-001'}]",2024-01-29T05:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28834/-1
2024-01-30T00:07:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-30T00:07Z,2024-01-30T00:16Z,2024-01-30T00:22Z,C1.9,N31W78,13559.0,,[{'activityID': '2024-01-30T00:24:00-CME-001'}],2024-01-30T14:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28881/-1
2024-02-01T06:36:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-01T06:36Z,2024-02-01T07:43Z,2024-02-01T08:48Z,C3.0,N20E05,,"Associated with a region of enhanced flux, but no numbered active region.",[{'activityID': '2024-02-01T08:00:00-CME-001'}],2024-02-01T14:07Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28928/-1
