flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
2024-01-01T08:33:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-01T08:33Z,2024-01-01T08:54Z,2024-01-01T09:04Z,M2.3,N03E70,13536.0,,,2024-01-01T13:28Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28428/-1
2024-01-01T11:54:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-01T11:54Z,2024-01-01T12:25Z,2024-01-01T12:35Z,M4.7,N03E68,13536.0,,,2024-01-01T13:24Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28427/-1
2024-01-02T18:02:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-02T18:02Z,2024-01-02T18:30Z,2024-01-02T18:56Z,M1.1,N05E59,13536.0,,[{'activityID': '2024-01-02T19:36:00-CME-001'}],2024-01-02T19:34Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28438/-1
2024-01-04T01:08:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-04T01:08Z,2024-01-04T01:16Z,2024-01-04T01:22Z,M1.1,N02E38,13536.0,,,2024-01-04T01:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28470/-1
2024-01-04T01:22:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-04T01:22Z,2024-01-04T01:55Z,2024-01-04T02:12Z,M3.8,N04E38,13536.0,,,2024-01-04T03:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28471/-1
2024-01-06T05:28:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06T05:28Z,2024-01-06T05:37Z,2024-01-06T05:41Z,C3.3,N02E01,13536.0,,[{'activityID': '2024-01-06T08:12:00-CME-001'}],2024-01-06T23:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28511/-1
2024-01-06T05:41:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06T05:41Z,2024-01-06T05:47Z,2024-01-06T05:53Z,C3.8,N02E01,13536.0,,[{'activityID': '2024-01-06T08:12:00-CME-001'}],2024-01-06T23:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28512/-1
2024-01-06T05:53:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06T05:53Z,2024-01-06T05:59Z,2024-01-06T06:04Z,C4.1,N02E03,13536.0,,[{'activityID': '2024-01-06T08:12:00-CME-001'}],2024-01-06T23:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28513/-1
2024-01-06T06:06:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06T06:06Z,2024-01-06T06:15Z,2024-01-06T06:21Z,C4.0,N01E11,13536.0,,[{'activityID': '2024-01-06T08:12:00-CME-001'}],2024-01-06T23:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28514/-1
2024-01-10T12:39:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10T12:39Z,2024-01-10T12:55Z,2024-01-10T13:05Z,M1.4,S20E90,13549.0,"At the time of the flare, this flare was associated with an unnumbered active region beyond the SE limb. This region was later numbered AR 13549 on 2024-01-12.",,2024-01-16T15:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28538/-1
2024-01-10T18:56:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10T18:56Z,2024-01-10T19:07Z,2024-01-10T19:16Z,C6.5,N10W52,13536.0,,[{'activityID': '2024-01-10T19:36:00-CME-001'}],2024-01-10T23:26Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28556/-1
2024-01-10T20:28:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10T20:28Z,2024-01-10T20:41Z,2024-01-10T21:00Z,C5.6,N12E90,,Source is beyond the eastern limb.,[{'activityID': '2024-01-10T21:09:00-CME-001'}],2024-01-11T21:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28576/-1
2024-01-10T23:18:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10T23:18Z,2024-01-10T23:28Z,2024-01-10T23:35Z,M1.9,N22W80,13538.0,,,2024-01-10T23:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28559/-1
2024-01-11T12:44:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11T12:44Z,2024-01-11T12:51Z,2024-01-11T12:55Z,M1.3,N19W88,13538.0,,,2024-01-11T13:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28560/-1
2024-01-11T17:49:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11T17:49Z,2024-01-11T17:52Z,2024-01-11T17:59Z,M1.5,N09W55,13539.0,,,2024-01-11T18:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28561/-1
2024-01-11T19:08:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11T19:08Z,2024-01-11T19:23Z,2024-01-11T19:49Z,M1.2,N19W90,13538.0,,,2024-01-11T20:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28562/-1
