,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2022-11-03T06:58:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-03T06:58Z,2022-11-03T07:23Z,2022-11-03T07:58Z,C1.3,S09E20,13136.0,,[{'activityID': '2022-11-03T08:48:00-CME-001'}],2022-11-03T13:14Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22187/-1
1,2022-11-07T00:02:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-07T00:02Z,2022-11-07T00:11Z,2022-11-07T00:16Z,M5.2,N12E56,13141.0,,[{'activityID': '2022-11-07T00:48:00-CME-001'}],2022-11-07T12:12Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22218/-1
2,2022-11-09T19:46:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-09T19:46Z,2022-11-09T20:05Z,2022-11-09T20:24Z,C4.3,S28E63,,,[{'activityID': '2022-11-09T21:12:00-CME-001'}],2022-11-10T12:30Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22237/-1
3,2022-11-11T07:00:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-11T07:00Z,2022-11-11T07:14Z,2022-11-11T07:20Z,M1.2,N12W05,13141.0,,,2022-11-11T13:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22247/-1
4,2022-11-11T11:27:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-11T11:27Z,2022-11-11T11:40Z,2022-11-11T11:46Z,M1.2,N12W08,13141.0,,,2022-11-11T13:20Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22248/-1
5,2022-11-12T00:09:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-12T00:09Z,2022-11-12T00:18Z,2022-11-12T00:24Z,M1.1,N14W21,13141.0,,,2022-11-12T13:14Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22262/-1
6,2022-11-12T18:01:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-12T18:01Z,2022-11-12T18:04Z,2022-11-12T18:10Z,C6.5,N14W25,13141.0,,[{'activityID': '2022-11-12T19:12:00-CME-001'}],2022-11-12T20:26Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22268/-1
7,2022-11-14T02:44:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-14T02:44Z,2022-11-14T02:49Z,2022-11-14T02:58Z,C3.3,N25W35,13145.0,,[{'activityID': '2022-11-14T03:24:00-CME-001'}],2022-11-14T12:35Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22280/-1
8,2022-11-14T18:04:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-14T18:04Z,2022-11-14T18:28Z,2022-11-14T18:55Z,C4.5,N25W59,13140.0,"There were multiple C-class flares from AR 3140 close to the same time, but this one seems to be of somewhat longer duration than the surrounding flares.",[{'activityID': '2022-11-14T19:12:00-CME-001'}],2022-11-15T14:34Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22295/-1
9,2022-11-15T02:48:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-11-15T02:48Z,2022-11-15T02:51Z,2022-11-15T02:55Z,M1.0,N22W64,13140.0,,,2022-11-15T11:40Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22291/-1
