,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2014-04-02T13:18:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-04-02T13:18Z,2014-04-02T14:05Z,2014-04-02T14:28Z,M6.5,N12E53,12027.0,,"[{'activityID': '2014-04-02T13:55:00-CME-001'}, {'activityID': '2014-04-02T15:55:00-SEP-001'}]",2014-04-02T14:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5074/-1
1,2014-04-16T19:54:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-04-16T19:54Z,2014-04-16T19:59Z,2014-04-16T20:04Z,M1.0,S14E09,12035.0,,,2014-04-16T22:43Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5232/-1
2,2014-04-18T12:31:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-04-18T12:31Z,2014-04-18T13:03Z,2014-04-18T13:20Z,M7.3,S18W29,12036.0,,"[{'activityID': '2014-04-18T13:09:00-CME-001'}, {'activityID': '2014-04-18T15:25:00-SEP-001'}, {'activityID': '2014-04-18T21:51:00-SEP-001'}]",2015-07-16T19:41Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5246/-1
3,2014-04-22T05:25:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-04-22T05:25Z,2014-04-22T05:47Z,2014-04-22T06:06Z,C3.6,S10W20,,,,2015-07-16T19:50Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5282/-1
4,2014-04-25T00:17:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-04-25T00:17Z,2014-04-25T00:27Z,2014-04-25T00:38Z,X1.3,S14W29,12035.0,"flare at west limb, probably partially obsured",[{'activityID': '2014-04-25T00:48:00-CME-001'}],2014-04-30T17:41Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5317/-1
