,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2020-12-07T15:46:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2020-12-07T15:46Z,2020-12-07T16:32Z,,C7.4,S23W11,12790.0,The signature of this C7.4 flare is visible in SDO AIA 131 starting at 2020-12-07T15:51Z from AR2790 (S23W11).,[{'activityID': '2020-12-07T16:24:00-CME-001'}],2020-12-07T18:33Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16213/-1
1,2020-12-13T08:45:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2020-12-13T08:45Z,2020-12-13T08:55Z,2020-12-13T09:08Z,B1.4,S18E90,,,[{'activityID': '2020-12-13T09:24:00-CME-001'}],2020-12-17T14:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16262/-1
2,2020-12-14T14:09:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2020-12-14T14:09Z,2020-12-14T14:37Z,2020-12-14T14:56Z,C4.0,S22E44,12792.0,,[{'activityID': '2020-12-14T15:12:00-CME-001'}],2020-12-15T17:34Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16255/-1
