,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2020-11-20T16:44:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2020-11-20T16:44Z,2020-11-20T17:03Z,,C1.9,S22E40,12783.0,,[{'activityID': '2020-11-20T19:51:00-CME-001'}],2020-11-21T17:27Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16096/-1
1,2020-11-20T18:11:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2020-11-20T18:11Z,2020-11-20T18:41Z,,C1.0,S25E120,,"The source location is an unlabeled AR beyond the eastern limb of SDO visible in the SE quadrant of EUVIA 195, while the brightening from the eruption is visible in AIA 131 beginning at 18:23Z.",,2020-11-21T19:41Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16099/-1
2,2020-11-29T12:34:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2020-11-29T12:34Z,2020-11-29T13:11Z,2020-11-29T13:41Z,M4.4,S25E97,,The source is the active region hidden behind the southeastern limb as seen from the Earth-facing disk. The source signature of this flare can be seen in STEREO A EUVI 195 from the associated active region near S25E40.,"[{'activityID': '2020-11-29T13:24:00-CME-001'}, {'activityID': '2020-11-30T04:26:00-SEP-001'}]",2020-12-02T21:36Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16155/-1
