,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2021-09-04T21:06:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-09-04T21:06Z,2021-09-04T21:33Z,,B4.5,N21E06,12864.0,,[{'activityID': '2021-09-04T23:53:00-CME-001'}],2021-09-05T16:27Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17661/-1
1,2021-09-05T17:42:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-09-05T17:42Z,2021-09-05T18:11Z,2021-09-05T18:46Z,B7.9,N22E15,12865.0,,[{'activityID': '2021-09-05T21:36:00-CME-001'}],2021-09-07T15:28Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17681/-1
2,2021-09-05T18:47:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-09-05T18:47Z,2021-09-05T18:56Z,2021-09-05T19:20Z,B7.0,N24E00,12864.0,,[{'activityID': '2021-09-05T21:36:00-CME-001'}],2021-09-07T15:32Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17682/-1
3,2021-09-07T23:42:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-09-07T23:42Z,2021-09-08T00:09Z,2021-09-08T00:33Z,C2.3,N22W39,12864.0,,[{'activityID': '2021-09-08T00:23:00-CME-001'}],2021-09-09T20:21Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17694/-1
4,2021-09-17T04:14:00-FLR-001,[{'displayName': 'GOES-S: EXIS 1.0-8.0'}],2021-09-17T04:14Z,2021-09-17T04:28Z,,C5.5,S30E85,,An associated EUV signature for this flare is visible towards the SE limb of the Earth-facing disk as seen in SDO AIA 131 starting around 2021-09-17T04:14Z. GOES-P does not capture the full intensity of the flare due to a data outage between approximately 2021-09-17T04:20-05:30Z.,[{'activityID': '2021-09-17T04:28:00-CME-001'}],2021-09-17T13:50Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17760/-1
5,2021-09-23T04:20:00-FLR-001,[{'displayName': 'GOES-S: EXIS 1.0-8.0'}],2021-09-23T04:20Z,2021-09-23T04:42Z,2021-05-22T17:16Z,M2.8,S22E28,12871.0,"Seen in GOES 17 (secondary) instrument data, with a gap in primary.",[{'activityID': '2021-09-23T05:48:00-CME-001'}],2021-09-24T14:25Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17803/-1
6,2021-09-23T15:23:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-09-23T15:23Z,2021-09-23T15:28Z,2021-09-23T15:39Z,M1.8,S28E16,12871.0,,[{'activityID': '2021-09-23T16:53:00-CME-001'}],2021-09-29T21:20Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17807/-1
7,2021-09-26T11:20:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-09-26T11:20Z,2021-09-26T11:24Z,2021-09-26T11:28Z,C1.6,S28W19,12871.0,The flare is best seen in SDO/AIA 131 at its peak time. There is an associated CME with this flare that is visible in both the SOHO LASCO coronagraphs and the STEREO A coronagraph. Opening field lines are visible to the SW in SDO/AIA 171 from the flare and subsequent eruption from AR12871.,[{'activityID': '2021-09-26T12:36:00-CME-001'}],2021-09-26T19:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17832/-1
8,2021-09-28T05:54:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-09-28T05:54Z,2021-09-28T06:34Z,2021-09-28T09:00Z,C1.6,S27W45,12871.0,This flare entry was changed from B6.9 to C1.6.,[{'activityID': '2021-09-28T07:00:00-CME-001'}],2021-09-29T21:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17844/-1
