,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2019-03-08T03:07:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2019-03-08T03:07Z,2019-03-08T03:18Z,,C1.3,N09W04,12734,,[{'activityID': '2019-03-08T04:17:00-CME-001'}],2019-03-09T14:34Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/14548/-1
1,2019-03-20T07:05:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2019-03-20T07:05Z,2019-03-20T07:14Z,,B6.1,N09W23,12736,This solar flare is associated with the earlier eruption from AR2736 that occurred at 07:13Z.,[{'activityID': '2019-03-20T08:24:00-CME-001'}],2019-03-20T16:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/14570/-1
2,2019-03-20T10:35:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2019-03-20T10:35Z,2019-03-20T11:18Z,,C4.8,N08W26,12736,"This solar flare is associated with the eruption from the active region at 11:09Z, corresponding to the main body of the CME.",[{'activityID': '2019-03-20T08:24:00-CME-001'}],2019-03-20T16:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/14571/-1
3,2019-03-21T03:08:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2019-03-21T03:08Z,2019-03-21T03:12Z,,C5.6,N08W34,12736,,,2019-03-21T13:14Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/14577/-1
