,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2013-05-03T17:24:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-05-03T17:24Z,2013-05-03T17:32Z,2013-05-03T17:41Z,M5.7,N15E85,,,,2015-07-16T20:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/208/-1
1,2013-05-13T01:53:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-05-13T01:53Z,2013-05-13T02:17Z,2013-05-13T02:32Z,X1.6,N10E89,,,"[{'activityID': '2013-05-13T02:54:00-CME-001'}, {'activityID': '2013-05-13T04:12:00-SEP-001'}]",2015-07-16T20:50Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/215/-1
2,2013-05-13T15:40:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-05-13T15:40Z,2013-05-13T16:05Z,2013-05-13T16:16Z,X2.8,N10E89,,,"[{'activityID': '2013-05-13T16:18:00-CME-001'}, {'activityID': '2013-05-13T18:02:00-SEP-001'}]",2015-07-16T20:48Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/225/-1
3,2013-05-14T01:00:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-05-14T01:00Z,2013-05-14T01:11Z,2013-05-14T01:20Z,X3.2,N10E89,,,[{'activityID': '2013-05-14T01:30:00-CME-001'}],2015-07-16T20:46Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/234/-1
4,2013-05-15T01:25:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-05-15T01:25Z,2013-05-15T01:48Z,2013-05-15T01:58Z,X1.2,N11E63,,,"[{'activityID': '2013-05-15T02:18:00-CME-001'}, {'activityID': '2013-05-15T13:25:00-SEP-001'}]",2015-07-16T20:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/250/-1
5,2013-05-22T12:30:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-05-22T12:30Z,2013-05-22T13:38Z,2013-05-22T17:10Z,M5.0,N13W75,,,"[{'activityID': '2013-05-22T13:24:00-CME-001'}, {'activityID': '2013-05-22T15:05:00-SEP-001'}, {'activityID': '2013-05-22T15:05:00-SEP-002'}, {'activityID': '2013-05-22T15:30:00-SEP-001'}]",2015-07-17T15:21Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/292/-1
