,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2017-07-02T12:15:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-07-02T12:15Z,2017-07-02T12:39Z,,B3.1,N18W80,12664.0,,[{'activityID': '2017-07-02T13:25:00-CME-001'}],2017-07-02T18:39Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12718/-1
1,2017-07-03T15:37:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-07-03T15:37Z,2017-07-03T16:15Z,2017-07-03T16:18Z,M1.3,N03W89,,,,2017-07-05T19:43Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12722/-1
2,2017-07-09T03:09:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-07-09T03:09Z,2017-07-09T03:18Z,2017-07-09T03:37Z,M1.3,S06E31,12665.0,Flare had a double peak.  Triggered a small eruption seen in 171.,,2017-07-12T21:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12739/-1
3,2017-07-13T20:01:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-07-13T20:01Z,2017-07-13T20:05Z,2017-07-13T20:11Z,C8.4,N11W68,,,,2017-07-14T12:48Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12763/-1
4,2017-07-14T01:07:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-07-14T01:07Z,2017-07-14T02:09Z,2017-07-14T03:24Z,M2.4,S09W33,12665.0,,"[{'activityID': '2017-07-14T01:36:00-CME-001'}, {'activityID': '2017-07-14T09:00:00-SEP-001'}]",2017-07-14T12:01Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12761/-1
5,2017-07-15T19:21:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-07-15T19:21Z,2017-07-15T19:36Z,,C5.8,S05W64,12665.0,,[{'activityID': '2017-07-15T21:24:00-CME-001'}],2017-07-16T13:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12781/-1
