,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2014-12-01T06:26:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-01T06:26Z,2014-12-01T06:41Z,2014-12-01T06:59Z,M1.8,S22E17,12222.0,,,2014-12-01T20:16Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7311/-1
1,2014-12-04T08:00:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-04T08:00Z,2014-12-04T08:10Z,2014-12-04T08:21Z,M1.3,S20W26,12222.0,,,2014-12-04T19:47Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7331/-1
2,2014-12-04T18:05:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-04T18:05Z,2014-12-04T18:25Z,2014-12-04T18:56Z,M6.1,S20W32,12222.0,,,2014-12-04T19:48Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7328/-1
3,2014-12-04T19:38:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-04T19:38Z,2014-12-04T19:41Z,2014-12-04T19:44Z,M1.3,S20W32,12222.0,,,2014-12-04T19:50Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7332/-1
4,2014-12-05T11:33:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-05T11:33Z,2014-12-05T12:25Z,2014-12-05T12:47Z,M1.5,S23W41,12222.0,,,2014-12-05T15:39Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7337/-1
5,2014-12-13T05:13:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-13T05:13Z,2014-12-13T05:20Z,2014-12-13T05:25Z,M1.5,S09E84,,,,2014-12-13T23:36Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7372/-1
6,2014-12-14T19:25:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-14T19:25Z,2014-12-14T19:33Z,2014-12-14T19:39Z,M1.6,S20E44,,"Short Duration, seen in SDO 193",,2014-12-15T02:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7384/-1
7,2014-12-17T00:57:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-17T00:57Z,2014-12-17T01:10Z,2014-12-17T01:20Z,M1.5,S20E08,12242.0,Corresponds to dimming seen in SDO around the same time.,,2014-12-17T22:43Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7391/-1
8,2014-12-17T01:41:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-17T01:41Z,2014-12-17T01:50Z,2014-12-17T01:57Z,M1.1,S11E37,12241.0,Associated dimming seen in SDO AIA 193 around 2014-12-17T01:41Z.,[{'activityID': '2014-12-17T02:00:00-CME-001'}],2014-12-17T22:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7394/-1
9,2014-12-17T04:25:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-12-17T04:25Z,2014-12-17T04:51Z,2014-12-17T05:20Z,M8.7,S18E08,12242.0,Observed in SDO AIA 193 around 2014-12-17T:04:34Z.,[{'activityID': '2014-12-17T05:00:00-CME-001'}],2014-12-17T22:47Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7392/-1
