,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2022-01-01T07:07:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-01T07:07Z,2022-01-01T07:30Z,2022-01-01T07:42Z,M1.1,N22W76,12918.0,The source signature of this flare can be seen toward the NE limb of the Earth-facing disk in SDO AIA 131 starting around 2022-01-01T07:11Z.,,2022-01-01T13:10Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18707/-1
1,2022-01-12T04:13:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-12T04:13Z,2022-01-12T04:23Z,2022-01-12T04:27Z,B7.2,N30E110,,,[{'activityID': '2022-01-12T04:36:00-CME-001'}],2022-01-12T14:55Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18805/-1
2,2022-01-13T20:24:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-13T20:24Z,2022-01-13T20:33Z,2022-01-13T20:38Z,C1.3,N30E95,,,[{'activityID': '2022-01-13T21:09:00-CME-001'}],2022-01-14T16:40Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18833/-1
3,2022-01-14T01:47:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-14T01:47Z,2022-01-14T02:03Z,2022-01-14T02:14Z,M1.8,N30E95,12932.0,Flare has a secondary C5.4 peak at 2022-01-14T02:33Z followed by long-duration C-class X-ray flux from post-eruptive arcades visible over the NE limb in SDO AIA 304.,[{'activityID': '2022-01-14T03:05:00-CME-001'}],2022-01-19T19:08Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18824/-1
4,2022-01-14T13:07:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-14T13:07Z,2022-01-14T13:34Z,2022-01-14T14:16Z,C4.3,S33W40,12925.0,,[{'activityID': '2022-01-14T13:38:00-CME-001'}],2022-01-14T14:52Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18829/-1
5,2022-01-16T04:56:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-16T04:56Z,2022-01-16T05:11Z,2022-01-16T05:48Z,C1.2,N25W21,12930.0,,[{'activityID': '2022-01-16T11:36:00-CME-001'}],2022-01-16T17:33Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18860/-1
6,2022-01-16T19:15:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-16T19:15Z,2022-01-16T19:45Z,2022-01-16T19:53Z,C2.4,N08W30,12929.0,,[{'activityID': '2022-01-16T20:48:00-CME-001'}],2022-01-17T17:07Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18869/-1
7,2022-01-17T13:48:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-17T13:48Z,2022-01-17T14:15Z,2022-01-17T14:46Z,C2.8,N20W35,12930.0,,[{'activityID': '2022-01-17T14:48:00-CME-001'}],2022-01-17T18:13Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18873/-1
8,2022-01-18T17:01:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-18T17:01Z,2022-01-18T17:44Z,2022-01-18T18:17Z,M1.5,N07W53,12929.0,Short duration flare associated with an eruption in this Active Region,[{'activityID': '2022-01-18T18:23:00-CME-001'}],2022-01-19T14:30Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18876/-1
9,2022-01-20T05:41:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-20T05:41Z,2022-01-20T06:01Z,2022-01-20T06:12Z,M5.5,N08W76,12929.0,The signature of this flare can be seen in SDO AIA 131 near the western limb of the Earth-facing disk starting around 2022-01-20T05:45Z.,"[{'activityID': '2022-01-20T06:12:00-CME-001'}, {'activityID': '2022-01-20T07:20:00-SEP-001'}, {'activityID': '2022-01-20T08:00:00-SEP-001'}, {'activityID': '2022-01-20T08:07:00-SEP-001'}, {'activityID': '2022-01-20T08:10:00-SEP-001'}]",2022-01-20T13:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18897/-1
10,2022-01-29T22:45:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-01-29T22:45Z,2022-01-29T23:32Z,2022-01-30T00:24Z,M1.1,N17E10,12936.0,,[{'activityID': '2022-01-29T23:36:00-CME-001'}],2022-01-30T12:20Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19003/-1
