,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2021-07-03T02:14:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-03T02:14Z,2021-07-03T02:31Z,2021-07-03T02:39Z,C5.7,N23W75,12838.0,"Associated with eruption from AR 12838; opening/rising field lines visible in SDO AIA 171/193 beginning 2021-07-03T02:24Z, material outflow visible in SDO AIA 171 beginning 2021-07-03T02:30Z.",[{'activityID': '2021-07-03T03:48:00-CME-001'}],2021-07-03T14:23Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17197/-1
1,2021-07-03T07:04:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-03T07:04Z,2021-07-03T07:17Z,2021-07-03T07:22Z,M2.7,N23W78,12838.0,"Associated with eruption from AR 12838, near N23W78, visible as opening/rising field lines in SDO AIA 171/193 beginning 2021-07-03T07:19Z.",[{'activityID': '2021-07-03T08:00:00-CME-001'}],2021-07-03T17:21Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17189/-1
2,2021-07-03T14:18:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-03T14:18Z,2021-07-03T14:29Z,2021-07-03T14:34Z,X1.5,N23W80,12838.0,,[{'activityID': '2021-07-03T14:48:00-CME-001'}],2021-07-03T14:42Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17201/-1
3,2021-07-03T16:59:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-03T16:59Z,2021-07-03T17:03Z,2021-07-03T17:14Z,M1.0,N23W82,12838.0,,[{'activityID': '2021-07-03T17:36:00-CME-001'}],2021-07-03T17:20Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17208/-1
4,2021-07-04T05:01:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-04T05:01Z,2021-07-04T05:09Z,2021-07-04T05:15Z,M1.5,N22W88,12838.0,Associated with eruption visible in SDO AIA 171/193/304 beginning 2021-07-04T05:04Z.,[{'activityID': '2021-07-04T06:00:00-CME-001'}],2021-07-04T12:13Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17211/-1
5,2021-07-05T16:36:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-05T16:36Z,2021-07-05T16:50Z,2021-07-05T17:05Z,B5.3,N23W110,12838.0,Over-the-limb measurement may affect the classification of this flare.  Associated with eruption seen on/behind the NW limb in SDO AIA 171 after 2021-07-05T16:39Z.,[{'activityID': '2021-07-05T17:53:00-CME-001'}],2021-07-05T19:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17224/-1
6,2021-07-05T23:09:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-05T23:09Z,2021-07-06T00:35Z,2021-07-06T01:40Z,B5.7,N28W93,,Flare occurs during post-eruption arcade from 2021-07-06T00:12Z. Flare appears to be from the plague region to the east of Active Region 12838.,[{'activityID': '2021-07-06T00:12:00-CME-001'}],2021-07-06T17:38Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17227/-1
7,2021-07-07T15:16:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-07T15:16Z,2021-07-07T15:51Z,2021-07-07T16:30Z,B7.1,N17W50,12837.0,,[{'activityID': '2021-07-07T16:24:00-CME-001'}],2021-07-08T18:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17239/-1
8,2021-07-09T07:30:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-09T07:30Z,2021-07-09T07:55Z,2021-07-09T08:03Z,C6.0,N27W95,12840.0,,[{'activityID': '2021-07-09T08:12:00-CME-001'}],2021-07-09T19:05Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17242/-1
9,2021-07-09T10:31:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-09T10:31Z,2021-07-09T10:50Z,2021-07-09T10:58Z,C7.0,N27W96,12840.0,,[{'activityID': '2021-07-09T11:12:00-CME-001'}],2021-07-09T19:16Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17243/-1
10,2021-07-09T17:15:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-09T17:15Z,2021-07-09T17:25Z,2021-07-09T17:30Z,C4.7,N27W98,12840.0,,[{'activityID': '2021-07-09T18:05:00-SEP-001'}],2021-07-09T19:31Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17249/-1
11,2021-07-10T01:56:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-10T01:56Z,2021-07-10T02:06Z,2021-07-10T02:10Z,B2.9,N27W104,12840.0,Associated with field line opening over NW limb of SDO AIA 171/193 beginning 2021-07-10T02:12Z and subsequent CME in NW of SOHO LASCO/C2 beginning 2021-07-10T03:12Z.,[{'activityID': '2021-07-10T03:12:00-CME-001'}],2021-07-10T13:26Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17256/-1
12,2021-07-10T10:11:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-10T10:11Z,2021-07-10T10:26Z,2021-07-10T10:40Z,B1.6,N27W108,12840.0,Associated with eruption from AR 12840 visible in SDO AIA 171/193 beginning 2021-07-10T10:15Z and CME visible in SOHO LASCO/C2 and STEREO A COR2 beginning 2021-07-10T12:00Z.,[{'activityID': '2021-07-10T12:00:00-CME-001'}],2021-07-10T15:59Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1
13,2021-07-20T16:18:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-20T16:18Z,2021-07-20T16:33Z,,B5.4,N27E63,12846.0,,[{'activityID': '2021-07-20T16:48:00-CME-001'}],2021-07-21T18:18Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17344/-1
14,2021-07-23T23:54:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-07-23T23:54Z,2021-07-24T00:33Z,2021-07-24T01:02Z,C4.3,S16E52,12849.0,,[{'activityID': '2021-07-24T00:36:00-CME-001'}],2021-07-24T12:38Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17369/-1
