,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2015-05-05T09:42:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-05-05T09:42Z,2015-05-05T09:47Z,2015-05-05T09:51Z,M1.9,N14E82,12339,"Compact flare, probably not a CME.",,2015-05-07T15:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8421/-1
1,2015-05-05T13:45:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-05-05T13:45Z,2015-05-05T13:53Z,2015-05-05T13:56Z,M1.2,N14E82,12339,Flare + off-limb wave propagating to the north.  Possible CME.,,2015-05-07T15:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8428/-1
2,2015-05-05T14:19:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-05-05T14:19Z,2015-05-05T14:25Z,2015-05-05T14:32Z,M1.3,S16E17,12335,Compact flare from AR approaching disk center.,,2015-05-05T15:06Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8429/-1
3,2015-05-05T17:12:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-05-05T17:12Z,2015-05-05T17:24Z,2015-05-05T17:30Z,M2.6,S16E15,12335,Mostly a compact flare - some minor loop evolution but probably no CME.,,2015-05-05T18:10Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8430/-1
4,2015-05-05T22:05:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-05-05T22:05Z,2015-05-05T22:11Z,2015-05-05T22:15Z,X2.7,N15E79,12339,Moderate Sized eruption seen with the flare!,[{'activityID': '2015-05-05T22:24:00-CME-001'}],2015-05-06T15:40Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8434/-1
5,2015-05-06T11:45:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-05-06T11:45Z,2015-05-06T11:49Z,2015-05-06T11:51Z,M1.9,N12E63,12339,,,2015-05-06T13:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8443/-1
6,2015-05-12T02:15:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-05-12T02:15Z,2015-05-12T03:22Z,2015-05-12T03:42Z,C2.6,S21W83,12335,"flare connected to filament eruption at SW limb, might be partially obscured, post-eruptive loops visible over the limb.",[{'activityID': '2015-05-12T02:48:00-CME-001'}],2015-05-13T23:02Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8496/-1
7,2015-05-13T18:09:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-05-13T18:09Z,2015-05-13T18:18Z,2015-05-13T18:38Z,C9.2,N12W17,12345,"This is a double peaked flare, another flare followed it.

Nice EUV signature. A CME is expected.",[{'activityID': '2015-05-13T18:48:00-CME-001'}],2015-05-13T20:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8493/-1
