,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2013-10-22T00:14:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-22T00:14Z,2013-10-22T00:22Z,2013-10-22T00:28Z,M1.0,N06E16,11875,,,2013-10-24T02:14Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3442/-1
1,2013-10-22T14:49:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-22T14:49Z,2013-10-22T15:20Z,2013-10-22T15:28Z,M1.0,N05E08,11875,,,2013-10-24T02:16Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3443/-1
2,2013-10-22T21:15:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-22T21:15Z,2013-10-22T21:20Z,2013-10-22T21:32Z,M4.3,N05E03,11875,,[{'activityID': '2013-10-22T22:00:00-CME-001'}],2013-10-24T02:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3444/-1
3,2013-10-24T00:22:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-24T00:22Z,2013-10-24T00:30Z,2013-10-24T00:35Z,M9.3,S13E09,11877,,[{'activityID': '2013-10-24T01:48:00-CME-001'}],2013-10-25T21:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3438/-1
4,2013-10-25T07:53:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-25T07:53Z,2013-10-25T08:01Z,2013-10-25T08:09Z,X1.7,S08E73,11882,,"[{'activityID': '2013-10-25T08:24:00-CME-001'}, {'activityID': '2013-10-25T13:36:00-SEP-001'}]",2015-07-16T20:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3452/-1
5,2013-10-25T14:52:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-25T14:52Z,2013-10-25T15:03Z,2013-10-25T15:12Z,X2.1,S08E65,11882,,[{'activityID': '2013-10-25T15:12:00-CME-001'}],2015-07-16T20:20Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3451/-1
6,2013-10-26T19:24:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-26T19:24Z,2013-10-26T19:27Z,2013-10-26T19:30Z,M3.1,S09E77,11884,,[{'activityID': '2013-10-26T20:09:00-CME-001'}],2013-10-27T04:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3481/-1
7,2013-10-26T19:49:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-26T19:49Z,2013-10-26T19:53Z,2013-10-26T19:58Z,M1.0,S08E46,11882,,,2013-10-27T04:05Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3482/-1
8,2013-10-28T01:41:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-28T01:41Z,2013-10-28T02:03Z,2013-10-28T02:12Z,X1.0,N07W634,11875,,[{'activityID': '2013-10-28T02:12:00-CME-001'}],2015-07-16T20:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3491/-1
9,2013-10-28T04:32:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-28T04:32Z,2013-10-28T04:41Z,2013-10-28T04:46Z,M5.1,N07W65,11875,,[{'activityID': '2013-10-28T04:48:00-CME-001'}],2015-07-16T20:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3496/-1
10,2013-10-29T21:48:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2013-10-29T21:48Z,2013-10-29T21:54Z,2013-10-29T22:01Z,X2.3,N07W89,11875,Increased energetic proton fluxes possible. Updates on this event will be provided when available.,[{'activityID': '2013-10-29T22:12:00-CME-001'}],2015-07-16T20:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/3526/-1
