,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2015-08-20T05:05:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-20T05:05Z,2015-08-20T05:27Z,2015-08-20T06:22Z,C3.4,S16E44,12403,Eruption observed in SDO/AIA193,,2015-08-20T13:30Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9142/-1
1,2015-08-21T01:56:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-21T01:56Z,2015-08-21T02:18Z,2015-08-21T02:36Z,M1.2,S12E38,12403,"mostly confined event, some faint outflow in C2 visible, fades quickly (not seen in C3), bright emission (in All AIA channels) mostly from core of AR that shows extensive flux emergence over the last hours.",,2015-08-26T20:54Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9149/-1
2,2015-08-21T09:34:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-21T09:34Z,2015-08-21T09:48Z,2015-08-21T10:07Z,M1.4,S17E26,12403,"This flare is located at the western periphery of the AR where the outer boundary of the newly emergent flux encounters an old decayed AR, with a filament that has developed between the ARs which seems to partially erupt (note, that the filament channel still seems present after the eruption, e.g. as seen in AIA 304)",[{'activityID': '2015-08-21T10:24:00-CME-001'}],2015-08-21T21:24Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9150/-1
3,2015-08-21T19:10:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-21T19:10Z,2015-08-21T20:34Z,2015-08-21T20:50Z,M1.1,S15E28,12403,"4th flare from this AR (third one of today, 2015-08-21), like the first one of today (2015-08-21T01:56Z) from the core of the AR, probably confined (no CME).",,2015-08-26T20:55Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9151/-1
4,2015-08-22T06:39:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-22T06:39Z,2015-08-22T06:49Z,2015-08-22T06:59Z,M1.2,S15E13,12403,Large eruption and dimming seen in association with this flare in SDO,[{'activityID': '2015-08-22T07:24:00-CME-001'}],2015-08-22T12:08Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9155/-1
5,2015-08-22T13:17:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-22T13:17Z,2015-08-22T13:23Z,2015-08-22T13:29Z,M2.2,S16E19,12304,,,2015-08-26T20:39Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9196/-1
6,2015-08-22T21:19:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-22T21:19Z,2015-08-22T21:24Z,2015-08-22T21:28Z,M3.5,S16E15,12304,,,2015-08-26T20:40Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9197/-1
7,2015-08-24T07:26:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-24T07:26Z,2015-08-24T07:33Z,2015-08-24T07:35Z,M5.6,S15W04,12403,,,2015-08-24T11:58Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9176/-1
8,2015-08-24T17:40:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-24T17:40Z,2015-08-24T17:46Z,2015-08-24T17:49Z,M1.0,S14W04,12403,Same location as the M5.6 class flare earlier.,,2015-08-24T19:13Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9180/-1
9,2015-08-27T04:48:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-27T04:48Z,2015-08-27T05:44Z,2015-08-27T06:03Z,M2.9,S16W47,12403,,,2015-08-27T16:10Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9202/-1
10,2015-08-28T13:04:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-28T13:04Z,2015-08-28T13:16Z,2015-08-28T13:23Z,M2.2,S14W66,12403,,,2015-09-02T17:25Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9217/-1
11,2015-08-28T18:56:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-28T18:56Z,2015-08-28T19:03Z,2015-08-28T19:06Z,M2.1,S15W75,12403,Short duration flare.,,2015-09-02T17:26Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9221/-1
12,2015-08-30T02:01:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-08-30T02:01Z,2015-08-30T03:30Z,2015-08-30T04:23Z,M1.4,S15W80,12403,Eruption is visible on the western limb of SDO imagery.,,2015-09-02T17:27Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9227/-1
