,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2022-07-05T03:59:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-05T03:59Z,2022-07-05T04:07Z,2022-07-05T04:17Z,C9.8,S20W23,13047.0,,[{'activityID': '2022-07-05T04:24:00-CME-001'}],2022-07-05T17:13Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20716/-1
1,2022-07-08T20:07:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-08T20:07Z,2022-07-08T20:49Z,2022-07-08T21:28Z,M2.5,N20E40,13053.0,,[{'activityID': '2022-07-08T20:48:00-CME-001'}],2022-07-09T11:38Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20756/-1
2,2022-07-09T13:29:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-09T13:29Z,2022-07-09T13:48Z,2022-07-09T14:05Z,C8.5,S22W88,13045.0,,"[{'activityID': '2022-07-09T14:00:00-CME-001'}, {'activityID': '2022-07-09T15:23:00-SEP-002'}, {'activityID': '2022-07-09T15:23:00-SEP-001'}, {'activityID': '2022-07-09T15:49:00-SEP-001'}, {'activityID': '2022-07-09T15:49:00-SEP-002'}]",2022-07-19T19:53Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20765/-1
3,2022-07-09T22:26:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-09T22:26Z,2022-07-09T22:45Z,2022-07-09T23:00Z,C4.6,N15E02,13052.0,,[{'activityID': '2022-07-09T23:12:00-CME-001'}],2022-07-11T16:24Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20801/-1
4,2022-07-10T23:30:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-10T23:30Z,2022-07-10T23:43Z,2022-07-10T23:52Z,M1.3,S19E71,13056.0,,,2022-07-11T11:43Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20790/-1
5,2022-07-11T01:44:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-11T01:44Z,2022-07-11T01:53Z,2022-07-11T02:06Z,C8.8,S18E65,13056.0,,,2022-07-11T12:58Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20795/-1
6,2022-07-11T09:08:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-11T09:08Z,2022-07-11T09:19Z,2022-07-11T09:39Z,M1.1,S15E60,13056.0,,,2022-07-11T11:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20791/-1
7,2022-07-14T04:22:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-14T04:22Z,2022-07-14T04:31Z,2022-07-14T04:40Z,M1.2,N15E81,13058.0,The source of this M1.2 flare is an AR13058 towards the eastern limb of the Earth-facing disk as seen in SDO AIA 131 imagery starting around 2022-07-14T04:22Z.,,2022-07-15T10:58Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20820/-1
8,2022-07-14T21:42:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-14T21:42Z,2022-07-14T21:48Z,2022-07-14T21:53Z,M2.8,N15E71,13058.0,,[{'activityID': '2022-07-14T22:24:00-CME-001'}],2022-07-15T11:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20825/-1
9,2022-07-15T07:13:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-15T07:13Z,2022-07-15T07:24Z,2022-07-15T07:30Z,C3.1,N12E62,13058.0,,[{'activityID': '2022-07-15T08:12:00-CME-001'}],2022-07-15T12:08Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20826/-1
10,2022-07-15T11:56:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-15T11:56Z,2022-07-15T12:05Z,2022-07-15T12:11Z,C5.5,N15E64,13058.0,,[{'activityID': '2022-07-15T13:36:00-CME-001'}],2022-07-15T15:46Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20838/-1
11,2022-07-16T06:16:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-16T06:16Z,2022-07-16T06:29Z,2022-07-16T06:34Z,M1.1,N18E19,13057.0,Flare is a few degrees NE of the center of AR 13057 (which was at N16E12).,,2022-07-16T11:37Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20849/-1
12,2022-07-16T15:33:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-16T15:33Z,2022-07-16T15:39Z,2022-07-16T15:44Z,M1.4,S18W56,13055.0,,,2022-07-16T15:54Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20862/-1
13,2022-07-21T01:02:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-21T01:02Z,2022-07-21T01:11Z,2022-07-21T01:33Z,C5.6,N13W04,13060.0,,[{'activityID': '2022-07-21T01:36:00-CME-001'}],2022-07-21T11:01Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20921/-1
14,2022-07-26T15:12:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-26T15:12Z,2022-07-26T15:35Z,2022-07-26T15:47Z,C8.5,N09W89,13060.0,,[{'activityID': '2022-07-26T16:23:00-CME-001'}],2022-07-26T19:07Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20994/-1
15,2022-07-31T22:41:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-07-31T22:41Z,2022-07-31T23:09Z,2022-07-31T23:44Z,C9.3,N16E95,,This flare is associated with CME: 2022-07-31T23:12Z and likely originates from an active region just beyond the NE limb.,[{'activityID': '2022-07-31T23:12:00-CME-001'}],2022-08-01T18:06Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21069/-1
