,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2021-05-07T03:37:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-07T03:37Z,2021-05-07T03:41Z,,B6.0,N17E86,,The EUV signature of this flare is visible towards the NE limb of the Earth-facing disk as seen in SDO AIA 131 around 2021-05-07T03:42Z.,[{'activityID': '2021-05-07T04:28:00-CME-001'}],2021-05-07T20:40Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16859/-1
1,2021-05-07T18:43:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-07T18:43Z,2021-05-07T19:04Z,2021-05-07T19:19Z,M3.9,N17E78,12822.0,The EUV signature of this M3.9 flare is visible towards the NE limb of the Earth-facing disk as seen in SDO AIA 131 starting around 2021-05-07T18:48Z.,[{'activityID': '2021-05-07T19:53:00-CME-001'}],2021-05-12T18:21Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16853/-1
2,2021-05-09T13:39:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-09T13:39Z,2021-05-09T13:58Z,,C4.0,N18E49,12822.0,This flare and associated eruption produced a CME that is visible as a partial halo to the north in STA Cor2 at 15:23Z.,[{'activityID': '2021-05-09T15:23:00-CME-001'}],2021-05-09T17:12Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16871/-1
3,2021-05-14T00:37:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-14T00:37Z,2021-05-14T01:04Z,2021-05-14T01:31Z,B4.9,S22W00,12823.0,This flare is best seen in SDO/AIA 335 and 94 wavelengths. It is associated with a Earth-directed S-type CME.,[{'activityID': '2021-05-14T05:23:00-CME-001'}],2021-05-14T20:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16906/-1
4,2021-05-19T02:58:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-19T02:58Z,2021-05-19T03:07Z,2021-05-19T03:15Z,B1.2,N18W79,12822.0,A brightening corresponding to this solar flare can be seen in SDO AIA 131 around 2021-05-19T03:07Z from AR 12822 near N18W79.,[{'activityID': '2021-05-19T03:48:00-CME-001'}],2021-05-19T17:08Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16919/-1
5,2021-05-19T17:02:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-19T17:02Z,2021-05-19T17:08Z,2021-05-19T17:14Z,B1.3,N18W89,12822.0,B1.3 flare was detected starting at 17:02Z and peaking around 17:08Z. The flare source was AR2822 around N18W89.,[{'activityID': '2021-05-19T17:48:00-CME-001'}],2021-05-21T12:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16929/-1
6,2021-05-21T08:41:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-21T08:41Z,2021-05-21T08:46Z,,B3.8,N16E90,,A B3.8 class flare was observed on the limb around N16E90 in SDO/AIA 171/193/304. The flare started at about 08:41Z and peaked around 08:46Z. There was an associated eruption with the flare.,[{'activityID': '2021-05-21T09:48:00-CME-001'}],2021-05-21T18:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16930/-1
7,2021-05-22T06:12:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-22T06:12Z,2021-05-22T06:17Z,2021-05-22T06:24Z,C6.0,N20E20,12824.0,,[{'activityID': '2021-05-22T09:12:00-CME-001'}],2021-05-24T13:18Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16940/-1
8,2021-05-22T15:12:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-22T15:12Z,2021-05-22T15:35Z,2021-05-22T15:44Z,C3.2,N20E18,12824.0,,[{'activityID': '2021-05-22T16:09:00-CME-001'}],2021-05-24T13:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16945/-1
9,2021-05-22T17:03:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-22T17:03Z,2021-05-22T17:11Z,2021-05-22T17:16Z,M1.1,N20E18,12824.0,,,2021-05-23T13:14Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16951/-1
10,2021-05-22T21:30:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-22T21:30Z,2021-05-22T21:36Z,2021-05-22T21:43Z,M1.4,N20E15,12824.0,,[{'activityID': '2021-05-22T22:09:00-CME-001'}],2021-05-23T13:15Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16952/-1
11,2021-05-23T09:15:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-23T09:15Z,2021-05-23T09:22Z,2021-05-23T09:35Z,C2.4,N21E8,12824.0,,[{'activityID': '2021-05-23T09:53:00-CME-001'}],2021-05-24T13:15Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16960/-1
12,2021-05-23T11:00:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-23T11:00Z,2021-05-23T11:08Z,2021-05-23T11:14Z,M1.1,N21E07,12824.0,,[{'activityID': '2021-05-23T11:38:00-CME-001'}],2021-06-14T18:34Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16959/-1
13,2021-05-23T17:00:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-23T17:00Z,2021-05-23T17:05Z,2021-05-23T17:10Z,C2.2,N21E04,12824.0,The source signature of this C2.2 flare from AR 12824 (N21E04) is clearly visible in SDO AIA 131 around 2021-05-23T17:04Z.,[{'activityID': '2021-05-23T17:38:00-CME-001'}],2021-05-24T19:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16967/-1
14,2021-05-24T00:24:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-24T00:24Z,2021-05-24T00:34Z,2021-05-24T00:38Z,B4.8,N20W03,12824.0,The source signature of this B4.8 flare from AR 12824 (N20W03) is clearly visible in SDO AIA 131 around 2021-05-24T00:24Z.,[{'activityID': '2021-05-24T01:25:00-CME-001'}],2021-05-24T19:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/16980/-1
15,2021-05-28T22:19:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2021-05-28T22:19Z,2021-05-28T23:13Z,2021-05-29T00:12Z,C9.4,N19W68,12824.0,"Flare from AR 2824 seen on the west side of SDO AIA 131,193,171.  Connectivity to the Earth was strong and an SEP event was reached with GOES >10 MeV protons.","[{'activityID': '2021-05-28T23:12:00-CME-001'}, {'activityID': '2021-05-29T03:00:00-SEP-001'}]",2021-05-29T03:32Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17006/-1
