,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2022-04-02T02:39:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-02T02:39Z,2022-04-02T02:56Z,2022-04-02T03:07Z,M2.9,N13W67,12975.0,,,2022-04-02T13:31Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19631/-1
1,2022-04-02T12:56:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-02T12:56Z,2022-04-02T13:55Z,2022-04-02T14:44Z,M3.9,N15W61,12976.0,Active Region number and source location have been updated after further review of the event.,"[{'activityID': '2022-04-02T13:38:00-CME-001'}, {'activityID': '2022-04-02T14:30:00-SEP-001'}, {'activityID': '2022-04-02T14:38:00-SEP-001'}, {'activityID': '2022-04-02T14:39:00-SEP-001'}]",2022-04-06T19:51Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19635/-1
2,2022-04-02T17:34:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-02T17:34Z,2022-04-02T17:44Z,2022-04-02T17:51Z,M4.3,N13W75,12975.0,,,2022-04-02T18:02Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19645/-1
3,2022-04-09T18:55:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-09T18:55Z,2022-04-09T19:00Z,2022-04-09T19:05Z,C1.1,S19W98,12978.0,Source location is based on the coordinates of the active region near/beyond the west limb.,[{'activityID': '2022-04-09T19:24:00-CME-001'}],2022-04-10T14:46Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19725/-1
4,2022-04-11T05:00:00-FLR-001,[{'displayName': 'GOES-S: EXIS 1.0-8.0'}],2022-04-11T05:00Z,2022-04-11T05:21Z,2022-04-11T05:58Z,C1.6,S14E06,,This flare is not associated with a numbered active region.,[{'activityID': '2022-04-11T06:00:00-CME-001'}],2022-04-11T12:28Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19737/-1
5,2022-04-15T10:31:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-15T10:31Z,2022-04-15T11:01Z,2022-04-15T11:07Z,M1.2,N11E95,12994.0,,,2022-04-20T12:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19778/-1
6,2022-04-15T11:07:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-15T11:07Z,2022-04-15T11:49Z,2022-04-15T12:29Z,M2.2,N10E95,12994.0,,,2022-04-20T12:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19779/-1
7,2022-04-15T13:47:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-15T13:47Z,2022-04-15T13:59Z,2022-04-15T14:11Z,M1.9,N14E95,12994.0,,,2022-04-20T12:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19785/-1
8,2022-04-16T14:49:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-16T14:49Z,2022-04-16T14:56Z,2022-04-16T15:09Z,M1.0,N22E87,12993.0,,,2022-04-17T16:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19794/-1
9,2022-04-17T02:00:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-17T02:00Z,2022-04-17T02:11Z,2022-04-17T02:23Z,M1.8,N22E74,12993.0,,,2022-04-17T12:06Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19810/-1
10,2022-04-17T03:17:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-17T03:17Z,2022-04-17T03:34Z,2022-04-17T03:51Z,X1.1,N14E73,12994.0,,[{'activityID': '2022-04-17T03:48:00-CME-001'}],2022-04-17T11:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19807/-1
11,2022-04-17T16:02:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-17T16:02Z,2022-04-17T16:08Z,2022-04-17T16:13Z,C7.7,S31W71,12992.0,,[{'activityID': '2022-04-17T19:39:00-CME-001'}],2022-04-18T12:09Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19829/-1
12,2022-04-17T19:52:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-17T19:52Z,2022-04-17T20:02Z,2022-04-17T20:06Z,M1.5,S31W73,12992.0,,,2022-04-18T12:04Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19825/-1
13,2022-04-17T22:28:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-17T22:28Z,2022-04-17T22:34Z,2022-04-17T22:40Z,M4.4,S31W74,12992.0,,,2022-04-18T12:06Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19826/-1
14,2022-04-18T07:37:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-18T07:37Z,2022-04-18T07:48Z,2022-04-18T07:54Z,M1.3,S31W80,12992.0,There was a simultaneous flare from AR 12993 so this event is still being analyzed,,2022-04-18T12:07Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19827/-1
15,2022-04-18T10:04:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-18T10:04Z,2022-04-18T10:27Z,2022-04-18T10:49Z,M1.1,N21E55,12993.0,,,2022-04-18T12:08Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19828/-1
16,2022-04-18T17:12:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-04-18T17:12Z,2022-04-18T17:24Z,2022-04-18T17:31Z,M1.9,S31W85,12992.0,,,2022-04-18T17:59Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19837/-1
