flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
2024-04-11T16:52:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-11T16:52Z,2024-04-11T17:06Z,2024-04-11T17:11Z,M5.4,S15E90,,Sympathetic flaring from regions in the NE and SE beyond the eastern limb. Possibly old AR's 3614 (~N20E90+) and 3615 (~S15E90+).,[{'activityID': '2024-04-11T17:12:00-CME-001'}],2024-04-11T17:36Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/29986/-1
2024-04-12T17:45:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-12T17:45Z,2024-04-12T17:55Z,2024-04-12T17:59Z,C8.9,S13E90,13637.0,,[{'activityID': '2024-04-12T18:12:00-CME-001'}],2024-04-13T14:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30030/-1
2024-04-13T04:58:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-13T04:58Z,2024-04-13T05:02Z,2024-04-13T05:06Z,M2.4,S13E83,13637.0,,[{'activityID': '2024-04-13T05:12:00-CME-001'}],2024-04-13T12:29Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30029/-1
2024-04-13T14:48:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-13T14:48Z,2024-04-13T14:59Z,2024-04-13T15:08Z,C5.5,N29W10,13634.0,,[{'activityID': '2024-04-13T18:00:00-CME-001'}],2024-04-15T18:36Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30072/-1
2024-04-13T21:01:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-13T21:01Z,2024-04-13T21:09Z,2024-04-13T21:18Z,C2.1,S18E72,13638.0,,[{'activityID': '2024-04-13T21:24:00-CME-001'}],2024-04-16T15:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30096/-1
2024-04-14T02:24:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-14T02:24Z,2024-04-14T02:32Z,2024-04-14T02:36Z,M4.3,S14E65,13637.0,,,2024-04-14T12:25Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30048/-1
2024-04-14T10:24:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-14T10:24Z,2024-04-14T11:01Z,2024-04-14T11:27Z,C5.0,S17E44,13636.0,"Manually calculated end time, end time is interrupted by a second peak from a separate flare.",[{'activityID': '2024-04-14T11:12:00-CME-001'}],2024-04-15T20:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30085/-1
2024-04-15T01:06:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-15T01:06Z,2024-04-15T01:18Z,2024-04-15T01:26Z,M1.7,N28E61,13639.0,,,2024-04-15T12:23Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30060/-1
2024-04-15T05:47:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-15T05:47Z,2024-04-15T06:00Z,2024-04-15T06:07Z,C5.6,S17E30,13636.0,,[{'activityID': '2024-04-15T06:48:00-CME-001'}],2024-04-15T20:11Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30084/-1
2024-04-15T07:15:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-04-15T07:15Z,2024-04-15T07:32Z,2024-04-15T07:38Z,M1.0,N31E60,13639.0,,,2024-04-15T12:24Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/30061/-1
