flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
2023-10-01T01:10:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-01T01:10Z,2023-10-01T01:32Z,2023-10-01T01:43Z,M2.5,N12E58,13452.0,,,2023-10-01T14:10Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27152/-1
2023-10-01T01:44:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-01T01:44Z,2023-10-01T01:46Z,2023-10-01T01:49Z,M1.6,N15E59,13451.0,,,2023-10-01T01:59Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27153/-1
2023-10-02T12:35:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-02T12:35Z,2023-10-02T12:46Z,2023-10-02T12:58Z,M1.9,N19E68,13455.0,,,2023-10-04T15:53Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27160/-1
2023-10-02T15:53:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-02T15:53Z,2023-10-02T15:58Z,2023-10-02T16:02Z,C2.4,S17E02,13450.0,,[{'activityID': '2023-10-02T18:24:00-CME-001'}],2023-10-03T17:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27168/-1
2023-10-07T17:57:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-07T17:57Z,2023-10-07T18:06Z,2023-10-07T18:10Z,M1.7,S12E28,13457.0,,,2023-10-07T18:24Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27212/-1
2023-10-10T01:55:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-10T01:55Z,2023-10-10T02:09Z,2023-10-10T02:22Z,M1.6,N14W65,13452.0,,,2023-10-10T02:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27232/-1
2023-10-10T12:08:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-10T12:08Z,2023-10-10T12:17Z,2023-10-10T12:29Z,M2.3,N12W70,13451.0,"This flare occurs between Active Regions 13451 and 13452, but is assigned to AR 13451.",,2023-10-11T12:42Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27235/-1
2023-10-12T04:50:00-FLR-001,[{'displayName': 'GOES-S: EXIS 1.0-8.0'}],2023-10-12T04:50Z,2023-10-12T04:58Z,2023-10-12T05:05Z,M1.1,N17W90,13451.0,AR 3451 is seen on the west limb in SDO AIA imagery at the time of this flare. GOES-Primary not available due to eclipse at the time of this flare.,,2023-10-12T12:10Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27258/-1
2023-10-12T05:56:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-12T05:56Z,2023-10-12T06:00Z,2023-10-12T06:11Z,C2.8,N05E45,13464.0,"Double peaked flare, with second peak at 2023-10-12T06:04Z.",[{'activityID': '2023-10-12T07:36:00-CME-001'}],2023-10-12T17:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27270/-1
2023-10-16T10:32:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-10-16T10:32Z,2023-10-16T10:51Z,2023-10-16T11:07Z,C7.5,N13E47,13467.0,Shortly followed by a C4.9 class flare from the same AR. Associated with an eruption and CME with ID 2023-10-16T12:09:00-CME-001.,[{'activityID': '2023-10-16T12:09:00-CME-001'}],2023-10-16T16:30Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27323/-1
