,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2015-09-11T21:30:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-11T21:30Z,2015-09-11T21:37Z,,C1.3,S10W21,12414,,,2015-09-11T22:18Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9306/-1
1,2015-09-20T04:55:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-20T04:55Z,2015-09-20T05:03Z,2015-09-20T05:17Z,M1.5,N09E83,12415,,,2015-09-23T15:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9354/-1
2,2015-09-20T17:32:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-20T17:32Z,2015-09-20T18:03Z,2015-09-20T18:29Z,M2.1,S22W50,12415,,[{'activityID': '2015-09-20T18:12:00-CME-001'}],2015-09-23T15:46Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9358/-1
3,2015-09-27T10:20:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-27T10:20Z,2015-09-27T10:40Z,2015-09-27T10:46Z,M1.9,S10W57,12423,,,2015-09-27T12:26Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9391/-1
4,2015-09-27T20:54:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-27T20:54Z,2015-09-27T21:00Z,2015-09-27T21:15Z,M1.0,S21W15,12422,,,2015-09-27T21:40Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9395/-1
5,2015-09-28T03:45:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-28T03:45Z,2015-09-28T03:55Z,2015-09-28T03:59Z,M3.6,S08W71,12423,"close to W limb, nice eruption seen in AIA 304",[{'activityID': '2015-09-28T05:12:00-CME-001'}],2015-09-28T13:31Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9400/-1
6,2015-09-28T07:27:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-28T07:27Z,2015-09-28T07:34Z,2015-09-28T07:46Z,M1.1,S21W22,12422,Flare appeared to be short duration and it appears that no CME was produced.,,2015-09-28T13:37Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9401/-1
7,2015-09-28T13:01:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-28T13:01Z,2015-09-28T13:18Z,2015-09-28T13:29Z,M1.1,S21W22,12422,,,2015-09-28T13:37Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9402/-1
8,2015-09-28T14:53:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-28T14:53Z,2015-09-28T14:58Z,2015-09-28T15:03Z,M7.6,S20W23,12422,,,2015-09-28T17:12Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9403/-1
9,2015-09-29T03:11:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T03:11Z,2015-09-29T03:16Z,2015-09-29T03:31Z,M1.2,S09W80,12423,,,2015-09-29T04:48Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9409/-1
10,2015-09-29T03:41:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T03:41Z,2015-09-29T03:43Z,2015-09-29T03:53Z,M1.1,S09W88,12423,This flare was also accompanied by a brightening in AR 2422.  Flare could be a sum of both.,,2015-09-29T13:32Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9410/-1
11,2015-09-29T04:41:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T04:41Z,2015-09-29T04:46Z,2015-09-29T04:55Z,C5.1,S07W79,12423,There is some question as to which AR this flare comes from.  The peak brightening at 04:46 appears to be over AR2423.,,2015-09-29T19:58Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9414/-1
12,2015-09-29T05:05:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T05:05Z,2015-09-29T05:16Z,2015-09-29T05:33Z,M2.9,S09W80,12423,"This is a superposition of two flares.  The initial rise is in AR 2422, but the strong flare flux (and peak) appears to be from AR2423.  The AIA observations appear to show an eruption as well.",,2015-09-29T13:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9415/-1
13,2015-09-29T05:33:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T05:33Z,2015-09-29T05:37Z,2015-09-29T05:39Z,M1.2,S09W80,12423,"A compact flare, no apparent CME.",,2015-09-29T19:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9416/-1
14,2015-09-29T05:53:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T05:53Z,2015-09-29T05:56Z,2015-09-29T06:04Z,M1.0,S19W37,12422,"This isn't really a strong flare, the background was at the high C-level already.",,2015-09-29T13:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9417/-1
15,2015-09-29T06:15:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T06:15Z,2015-09-29T06:18Z,2015-09-29T06:23Z,C8.6,S19W38,12422,Not a very distinctive flare - high X-ray background and brightenings in other ARs may have contributed.,,2015-09-29T13:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9418/-1
16,2015-09-29T06:39:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T06:39Z,2015-09-29T06:43Z,2015-09-29T06:46Z,M1.4,S20W38,12422,Another brightening in AR 2422 as part of the series of previous flares.,,2015-09-29T13:58Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9419/-1
17,2015-09-29T08:46:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T08:46Z,2015-09-29T08:55Z,2015-09-29T08:51Z,M1.3,S09W88,12423,"A compact brightening, with some flare flux contribution from AR 2422.",,2015-09-29T14:02Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9420/-1
18,2015-09-29T09:22:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T09:22Z,2015-09-29T09:26Z,2015-09-29T09:28Z,C5.2,S21W33,12422,Very compact flare.,,2015-09-29T14:08Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9421/-1
19,2015-09-29T11:09:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T11:09Z,2015-09-29T11:15Z,2015-09-29T11:20Z,M1.6,S20W39,12422,Very compact flare.,,2015-09-29T14:11Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9422/-1
20,2015-09-29T19:20:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-29T19:20Z,2015-09-29T19:24Z,2015-09-29T19:27Z,M1.1,S15W44,12422,Compact flare at the western edge of AR 2422.,,2015-09-29T19:53Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9425/-1
21,2015-09-30T10:49:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-09-30T10:49Z,2015-09-30T10:59Z,2015-09-30T11:13Z,M1.3,S20W50,12422,,,2015-09-30T17:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9436/-1
