,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2017-08-15T02:08:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-08-15T02:08Z,2017-08-15T02:15Z,2017-08-15T02:17Z,C1.0,N10E80,12671.0,A compact flare with no obvious CME activity.,,2017-08-15T16:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12894/-1
1,2017-08-15T12:20:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-08-15T12:20Z,2017-08-15T13:51Z,2017-08-15T14:50Z,C1.1,N08E73,12671.0,Also some clear CME signatures: dimming (DIM) and post-eruptive arcade (PEA).,[{'activityID': '2017-08-15T13:48:00-CME-001'}],2017-08-15T16:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12895/-1
2,2017-08-19T21:28:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-08-19T21:28Z,2017-08-19T21:55Z,2017-08-19T22:22Z,C7.0,N10E10,12671.0,With this flare is a large eruption characterized by opening field lines and some dimming around 21:31Z.,[{'activityID': '2017-08-19T23:09:00-CME-001'}],2017-08-20T15:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12921/-1
3,2017-08-20T01:36:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2017-08-20T01:36Z,2017-08-20T01:52Z,2017-08-20T02:30Z,M1.2,N05E90,,"Source is an unnumbered AR on the east limb of SDO AIA 131, also seen in STA EUVI 195 to the west. It has an associated eruption characterized by opening field lines.",,2017-08-20T12:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12918/-1
