,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2015-11-03T18:43:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-11-03T18:43Z,2015-11-03T19:09Z,2015-11-03T19:31Z,C5.5,N09E11,12443,,,2015-11-03T21:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9630/-1
1,2015-11-04T03:20:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-11-04T03:20Z,2015-11-04T03:25Z,2015-11-04T03:29Z,M1.9,N14W65,12445,After the flare there was a filament eruption from the region.,[{'activityID': '2015-11-04T03:48:00-CME-001'}],2015-11-04T04:55Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9632/-1
2,2015-11-04T08:47:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-11-04T08:47Z,2015-11-04T09:00Z,2015-11-04T09:09Z,C4.6,N16W76,12445,Small eruption associated with this flare.,,2015-11-04T14:35Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9634/-1
3,2015-11-04T11:56:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-11-04T11:56Z,2015-11-04T12:03Z,2015-11-04T12:12Z,M2.6,N16W76,12445,"Associated eruption visible in SDO AIA 171, 304, and 193.",,2015-11-04T14:35Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9633/-1
4,2015-11-04T13:30:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-11-04T13:30Z,2015-11-04T13:52Z,2015-11-04T14:13Z,M3.7,N06W04,12443,"Associated with large eruption with dimming and EUV wave visible in SDO AIA 171, 193, and 304.",[{'activityID': '2015-11-04T14:24:00-CME-001'}],2015-11-04T17:35Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9637/-1
5,2015-11-09T12:49:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-11-09T12:49Z,2015-11-09T13:12Z,2015-11-09T13:28Z,M3.9,S12E39,12449,,,2015-11-09T13:37Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/9671/-1
