flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
2023-11-01T06:07:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-01T06:07Z,2023-11-01T06:26Z,2023-11-01T06:49Z,M1.1,S15E80,13477.0,,,2023-11-01T16:30Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27527/-1
2023-11-01T11:37:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-01T11:37Z,2023-11-01T12:26Z,2023-11-01T13:00Z,M1.4,S10E90,13480.0,This flare occurred from a region just beyond the limb which was unnumbered at the time. As this region rotated onto the Earth-facing disk it was likely numbered as Active Region 13480.,[{'activityID': '2023-11-01T13:25:00-CME-001'}],2023-11-03T16:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27529/-1
2023-11-02T05:15:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-02T05:15Z,2023-11-02T05:22Z,2023-11-02T05:29Z,C4.9,S10E90,,This solar flare occurred from an unnumbered region near the eastern limb.,[{'activityID': '2023-11-02T06:00:00-CME-001'}],2023-11-02T16:47Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27558/-1
2023-11-02T12:18:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-02T12:18Z,2023-11-02T12:22Z,2023-11-02T12:26Z,M1.6,S18W35,13474.0,Inpulsive (short duration) flare.,,2023-11-02T13:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27550/-1
2023-11-02T19:08:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-02T19:08Z,2023-11-02T19:21Z,2023-11-02T19:28Z,M1.0,S10E85,13480.0,,[{'activityID': '2023-11-02T19:48:00-CME-001'}],2023-11-03T18:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27559/-1
2023-11-03T04:40:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-03T04:40Z,2023-11-03T06:17Z,2023-11-03T07:00Z,C3.2,N30W30,,,[{'activityID': '2023-11-03T05:48:00-CME-001'}],2023-11-03T18:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27572/-1
2023-11-05T11:34:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-05T11:34Z,2023-11-05T11:43Z,2023-11-05T11:47Z,M1.8,S09E52,13480.0,,,2023-11-05T14:04Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27607/-1
2023-11-05T14:24:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-05T14:24Z,2023-11-05T14:32Z,2023-11-05T14:36Z,M1.6,S09E51,13480.0,,,2023-11-05T15:16Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27609/-1
2023-11-09T10:53:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-09T10:53Z,2023-11-09T11:18Z,2023-11-09T12:01Z,C2.6,S11W05,13480.0,Associated with eruption characterized by dimming and halo CME.,[{'activityID': '2023-11-09T12:23:00-CME-001'}],2023-11-09T14:46Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27657/-1
2023-11-11T17:01:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-11T17:01Z,2023-11-11T17:29Z,2023-11-11T17:45Z,M1.2,S17W64,13477.0,,,2023-11-11T17:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27672/-1
2023-11-14T03:40:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-11-14T03:40Z,2023-11-14T03:45Z,2023-11-14T04:03Z,C1.8,S20W65,13485.0,,[{'activityID': '2023-11-14T04:00:00-CME-001'}],2023-11-14T14:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27690/-1
