,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2015-02-04T02:10:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-02-04T02:10Z,2015-02-04T02:15Z,2015-02-04T02:21Z,M1.2,N9W11,12277.0,Can also be seen in SDO AIA 193/304,,2015-02-11T22:22Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7704/-1
1,2015-02-09T22:59:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-02-09T22:59Z,2015-02-09T23:35Z,2015-02-10T00:12Z,M2.4,N15E52,12282.0,,[{'activityID': '2015-02-09T23:24:00-CME-001'}],2015-02-11T22:23Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7735/-1
2,2015-02-12T02:00:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-02-12T02:00Z,2015-02-12T02:12Z,2015-02-12T02:45Z,C6.0,S7W69,12280.0,,,2015-02-16T04:48Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7754/-1
3,2015-02-24T09:54:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-02-24T09:54Z,2015-02-24T10:57Z,2015-02-24T11:53Z,C1.4,S21E90,,"http://sdowww.lmsal.com/sdomedia/ssw/media/ssw/ssw_client/data/ssw_service_150224_054144_80835_1/www/

partially occulted?",[{'activityID': '2015-02-24T10:12:00-CME-001'}],2015-02-25T16:27Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7834/-1
4,2015-02-28T08:58:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-02-28T08:58Z,2015-02-28T09:39Z,2015-02-28T10:07Z,C5.6,S15W19,12294.0,Very clear wave following eruption.,,2015-02-28T21:54Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7851/-1
