,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2022-06-05T11:35:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-06-05T11:35Z,2022-06-05T12:00Z,2022-06-05T12:05Z,C1.3,S27E71,,"This is a double peaked flare from this source location. The second flare was a C1.7 flare starting at 2022-06-05T12:05Z, peaking at 2022-06-05T12:25Z, and ending at 2022-06-05T12:34Z. The first flare, the C1.3 flare, is likely associated with the 2022-06-05T13:17Z CME.",[{'activityID': '2022-06-05T13:17:00-CME-001'}],2022-06-05T19:06Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20425/-1
1,2022-06-10T10:11:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-06-10T10:11Z,2022-06-10T10:54Z,2022-06-10T11:14Z,M1.2,N19E90,13032.0,,,2022-06-13T12:37Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20459/-1
2,2022-06-13T03:01:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-06-13T03:01Z,2022-06-13T04:07Z,2022-06-13T05:12Z,M3.4,N26E53,13032.0,,[{'activityID': '2022-06-13T03:12:00-CME-001'}],2022-06-13T12:15Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20477/-1
3,2022-06-16T03:47:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-06-16T03:47Z,2022-06-16T03:53Z,2022-06-16T03:57Z,M1.6,S29W14,13031.0,The source signature of this flare is clearly visible in SDO AIA 131 towards the SE of Active Region 13031 (near S29W14) around the time of the flare's peak at 2022-06-16T03:53Z.,,2022-06-16T12:28Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20528/-1
4,2022-06-20T15:19:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-06-20T15:19Z,2022-06-20T15:26Z,2022-06-20T15:39Z,C4.4,N18W66,13030.0,,[{'activityID': '2022-06-20T15:23:00-CME-001'}],2022-06-20T16:43Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20567/-1
