,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2022-10-01T19:58:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-01T19:58Z,2022-10-01T20:10Z,2022-10-01T20:16Z,M5.8,N17W35,13110,,"[{'activityID': '2022-10-01T20:24:00-CME-001'}, {'activityID': '2022-10-01T21:17:00-SEP-001'}, {'activityID': '2022-10-01T21:17:00-SEP-002'}, {'activityID': '2022-10-01T21:25:00-SEP-001'}, {'activityID': '2022-10-01T21:25:00-SEP-002'}]",2022-10-02T12:01Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21831/-1
1,2022-10-02T02:08:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-02T02:08Z,2022-10-02T02:21Z,2022-10-02T02:26Z,M8.7,N17W39,13110,,"[{'activityID': '2022-10-02T02:36:00-CME-001'}, {'activityID': '2022-10-02T03:39:00-SEP-001'}, {'activityID': '2022-10-02T03:39:00-SEP-002'}, {'activityID': '2022-10-02T03:43:00-SEP-001'}, {'activityID': '2022-10-02T03:43:00-SEP-002'}]",2022-10-02T12:04Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21833/-1
2,2022-10-02T13:52:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-02T13:52Z,2022-10-02T14:05Z,2022-10-02T14:23Z,M1.2,N22E70,13112,,,2022-10-02T14:29Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21854/-1
3,2022-10-02T15:34:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-02T15:34Z,2022-10-02T15:45Z,2022-10-02T15:53Z,M1.0,N22E67,13112,,,2022-10-02T15:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21855/-1
4,2022-10-02T19:53:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-02T19:53Z,2022-10-02T20:25Z,2022-10-02T20:34Z,X1.0,N17W49,13110,,"[{'activityID': '2022-10-02T20:36:00-CME-001'}, {'activityID': '2022-10-02T22:01:00-SEP-001'}, {'activityID': '2022-10-02T22:01:00-SEP-002'}, {'activityID': '2022-10-02T22:04:00-SEP-001'}]",2022-10-03T11:02Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21860/-1
5,2022-10-03T02:19:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-03T02:19Z,2022-10-03T02:33Z,2022-10-03T03:02Z,M2.6,N23E63,13112,,,2022-10-03T11:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21863/-1
6,2022-10-03T09:38:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-03T09:38Z,2022-10-03T10:11Z,2022-10-03T10:27Z,M4.2,N17W57,13110,,[{'activityID': '2022-10-03T09:48:00-CME-001'}],2022-10-03T10:58Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21862/-1
7,2022-10-03T11:03:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-03T11:03Z,2022-10-03T11:11Z,2022-10-03T11:19Z,M1.5,N17W58,13110,,,2022-10-03T12:23Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21876/-1
8,2022-10-03T15:20:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-03T15:20Z,2022-10-03T15:30Z,2022-10-03T15:40Z,M1.6,N23E50,13112,,,2022-10-03T15:52Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21881/-1
9,2022-10-03T19:57:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-03T19:57Z,2022-10-03T20:28Z,2022-10-03T20:52Z,M1.2,N17W64,13110,,[{'activityID': '2022-10-03T20:36:00-CME-001'}],2022-10-04T10:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21885/-1
10,2022-10-03T21:11:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2022-10-03T21:11Z,2022-10-03T21:22Z,2022-10-03T21:31Z,M1.7,N17W64,13110,"Double-peaked flare, with second peak of M1.2 at 2022-10-03T22:01Z.",,2022-10-04T11:15Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21886/-1
