,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2015-04-08T14:37:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-08T14:37Z,2015-04-08T14:43Z,2015-04-08T14:47Z,M1.4,S13W4,12320.0,Short duration flare,,2015-04-16T14:39Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8186/-1
1,2015-04-12T08:51:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-12T08:51Z,2015-04-12T09:50Z,2015-04-12T10:44Z,M1.1,N11E78,12321.0,Long Duration Flare with dimming seen in the area.,[{'activityID': '2015-04-12T10:00:00-CME-001'}],2015-04-16T14:40Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8210/-1
2,2015-04-18T14:03:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-18T14:03Z,2015-04-18T14:19Z,2015-04-18T14:39Z,C5.2,N11W24,12321.0,,[{'activityID': '2015-04-18T15:12:00-CME-001'}],2015-04-19T04:32Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8259/-1
3,2015-04-21T07:08:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-21T07:08Z,2015-04-21T07:21Z,2015-04-21T07:27Z,M1.0,N09W80,12322.0,"A compact flare, no sign of an eruption.",,2015-04-21T13:15Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8278/-1
4,2015-04-21T10:17:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-21T10:17Z,2015-04-21T10:40Z,2015-04-21T10:59Z,M2.2,N16E80,,"New active region on the East limb.  A wave and a dimming were also observed, as well as post-eruption loops: probable CME.",[{'activityID': '2015-04-21T10:36:00-CME-001'}],2015-04-22T21:13Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8279/-1
5,2015-04-21T11:49:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-21T11:49Z,2015-04-21T11:57Z,2015-04-21T12:02Z,M2.2,N09W84,12322.0,"This is a compact flare, no signs of eruption.",,2015-04-21T13:20Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8280/-1
6,2015-04-21T15:24:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-21T15:24Z,2015-04-21T15:45Z,2015-04-21T15:51Z,M4.0,N10W80,12322.0,"A compact flare, but there was some sign of upward loop motion after the flare.",,2015-04-21T16:24Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8283/-1
7,2015-04-21T16:55:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-21T16:55Z,2015-04-21T17:00Z,2015-04-21T17:09Z,M2.1,N10W80,12322.0,"A compact flare, no sign of eruption.",,2015-04-22T21:12Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8284/-1
8,2015-04-21T21:39:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-21T21:39Z,2015-04-21T21:45Z,2015-04-21T21:55Z,M1.8,N10W80,12322.0,A compact flare.,,2015-04-22T21:13Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8292/-1
9,2015-04-21T21:58:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-21T21:58Z,2015-04-21T22:01Z,2015-04-21T22:04Z,M1.2,N09W80,12322.0,"A compact flare.  This one may be considered a continuation of the 2015-04-21T21:39Z flare, they were really close.",,2015-04-21T23:01Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8293/-1
10,2015-04-22T08:30:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-22T08:30Z,2015-04-22T08:44Z,2015-04-22T08:58Z,M1.1,N11W91,12322.0,,,2015-04-22T13:47Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8295/-1
11,2015-04-23T09:18:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2015-04-23T09:18Z,2015-04-23T10:07Z,2015-04-23T10:07Z,M1.1,N07W80,12321.0,,[{'activityID': '2015-04-23T09:36:00-CME-001'}],2015-04-23T12:30Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/8299/-1
